qc_id,name,lat,lon,value
0,104 W Dauphin St. Free Library Kensington South West corner,39.984,-75.133,100
1,104 W Dauphin St. Free Library Kensington North West corner,39.985,-75.133,5
2,114 Diamond St - Dave,39.982,-75.134,2
3,"120 Diamond St - Tony's bar Halftime Goodtimes
",39.982,-75.134,54
4,"2119 N 2nd St - Sarah from Free Library Kensington branch
",39.983,-75.137,3
5,"2136 N Hancock St - Adan at West Kensington Ministries
",39.983,-75.136,76
6,2141 N Howard St - NSNP,39.983,-75.134,1
7,2311 N Howard St. - Liz,39.985,-75.133,474
8,2248 Palethorp St - NSNP Las Parcelas,39.985,-75.136,5
9,147 Susquehannah - NSCA,39.984,-75.135,13
10,2114-2116 Hancock St - NSCA,39.983,-75.136,342
11,2130 N Hancock St - PW customer,39.983,-75.136,5
12,2024 N 4th St,39.982,-75.141,342
13,2141 N 2nd St,39.983,-75.136,76
14,1425 N American St,39.974,-75.14,978
15,"1941 N Lawrence St - Iglesias Gardens / Angel
",39.981,-75.142,24
16,137 Susquehannah,39.984,-75.134,76
17,1030 Mascher St,39.981,-75.135,3
18,Lillian Marrero Library,39.993,-75.142,6
